x,y,z,qx,qy,qz,qw
0.0241646,0.0152294,0.024515,0.661046,-0.0346773,0.747119,0.747119
-0.243754,-0.0657913,0.0282353,-0.665496,0.00757237,-0.746154,-0.746154
-0.234571,-0.063184,0.0387272,-0.653391,-0.00171959,-0.756354,-0.756354
-0.243153,-0.0840299,0.0557392,-0.646674,-0.0116746,-0.761457,-0.761457
-0.251858,-0.0961572,0.0661645,-0.642691,-0.0229279,-0.763776,-0.763776
-0.259303,-0.115154,0.0816541,-0.637322,-0.0329508,-0.766814,-0.766814
-0.267956,-0.133275,0.0962484,-0.633591,-0.0402048,-0.768414,-0.768414
-0.274123,-0.152676,0.110709,-0.630423,-0.045091,-0.769598,-0.769598
-0.276565,-0.171896,0.124037,-0.62731,-0.0485282,-0.77082,-0.77082
-0.278844,-0.19517,0.13461,-0.626099,-0.0493429,-0.770671,-0.770671
-0.281627,-0.218725,0.143261,-0.624545,-0.049315,-0.770866,-0.770866
-0.28064,-0.24358,0.15076,-0.623678,-0.0511415,-0.770096,-0.770096
-0.273234,-0.26527,0.156016,-0.624178,-0.0515299,-0.769358,-0.769358
-0.270796,-0.289903,0.162172,-0.623431,-0.0554874,-0.767794,-0.767794
-0.259155,-0.311474,0.166968,-0.622023,-0.0632946,-0.766522,-0.766522
-0.255288,-0.335886,0.172567,-0.620693,-0.0701815,-0.764288,-0.764288
-0.251034,-0.360879,0.17852,-0.618845,-0.0782626,-0.761762,-0.761762
-0.266824,-0.380909,0.179823,-0.618116,-0.088853,-0.75836,-0.75836
-0.262107,-0.405504,0.186549,-0.615635,-0.0972214,-0.755375,-0.755375
-0.264515,-0.434604,0.194478,-0.607757,-0.108266,-0.754681,-0.754681
-0.263474,-0.461723,0.196814,-0.604468,-0.116058,-0.751541,-0.751541
-0.261171,-0.48906,0.201847,-0.601582,-0.121607,-0.74817,-0.74817
-0.268188,-0.524995,0.196652,-0.596243,-0.124218,-0.746896,-0.746896
-0.269474,-0.557594,0.199545,-0.59445,-0.126132,-0.7432,-0.7432
-0.273851,-0.585881,0.20268,-0.59251,-0.127538,-0.740107,-0.740107
-0.272749,-0.614679,0.20398,-0.591393,-0.127627,-0.735923,-0.735923
-0.270765,-0.647501,0.201002,-0.589243,-0.127695,-0.73201,-0.73201
-0.267523,-0.673071,0.199601,-0.589061,-0.127005,-0.727099,-0.727099
-0.270667,-0.700465,0.20694,-0.587245,-0.128797,-0.721235,-0.721235
-0.272765,-0.723856,0.209011,-0.584848,-0.13258,-0.714891,-0.714891
-0.271013,-0.755347,0.211427,-0.582006,-0.137666,-0.707096,-0.707096
-0.275981,-0.785845,0.217561,-0.578486,-0.142903,-0.699517,-0.699517
-0.289077,-0.809619,0.22926,-0.576275,-0.146313,-0.693077,-0.693077
-0.288498,-0.83973,0.235486,-0.576484,-0.147025,-0.685722,-0.685722
-0.297878,-0.856657,0.242675,-0.57792,-0.14639,-0.679691,-0.679691
-0.311584,-0.876976,0.250009,-0.580452,-0.143185,-0.674448,-0.674448
-0.314713,-0.90764,0.254384,-0.583948,-0.138229,-0.668732,-0.668732
-0.319101,-0.918545,0.258824,-0.587189,-0.136386,-0.662416,-0.662416
-0.339563,-0.918223,0.26759,-0.589913,-0.132843,-0.658142,-0.658142
-0.346479,-0.937672,0.270304,-0.591953,-0.131923,-0.651696,-0.651696
-0.385973,-0.883794,0.27202,-0.590732,-0.139018,-0.646798,-0.646798
-0.438664,-0.823464,0.276591,-0.590305,-0.142099,-0.644269,-0.644269
-0.451814,-0.836885,0.276348,-0.588851,-0.143339,-0.638374,-0.638374
-0.495046,-0.813595,0.268897,-0.587513,-0.143483,-0.635893,-0.635893
-0.514299,-0.825773,0.258604,-0.585152,-0.144684,-0.63011,-0.63011
-0.546907,-0.826217,0.247736,-0.57942,-0.149261,-0.62533,-0.62533
-0.564801,-0.840404,0.243244,-0.572184,-0.155785,-0.619582,-0.619582
-0.581926,-0.85262,0.239332,-0.567056,-0.160544,-0.614158,-0.614158
-0.600875,-0.859359,0.237877,-0.564506,-0.164604,-0.608537,-0.608537
-0.629148,-0.849654,0.240966,-0.564859,-0.167315,-0.604402,-0.604402
-0.64805,-0.850775,0.244282,-0.567984,-0.169198,-0.598364,-0.598364
-0.662513,-0.840508,0.242826,-0.574191,-0.170443,-0.593619,-0.593619
-0.67814,-0.837779,0.247084,-0.580443,-0.171771,-0.587363,-0.587363
-0.703507,-0.83214,0.254157,-0.586742,-0.173636,-0.581504,-0.581504
-0.720617,-0.83001,0.255945,-0.591011,-0.178043,-0.574856,-0.574856
-0.738705,-0.831801,0.259005,-0.59236,-0.185155,-0.566858,-0.566858
-0.761275,-0.827019,0.265252,-0.590686,-0.194053,-0.5592,-0.5592
-0.788726,-0.82929,0.259601,-0.586453,-0.206543,-0.550591,-0.550591
-0.81124,-0.832809,0.257549,-0.579849,-0.219027,-0.541674,-0.541674
-0.837271,-0.834197,0.250614,-0.571909,-0.231728,-0.53308,-0.53308
-0.879297,-0.8111,0.236262,-0.564459,-0.242606,-0.528988,-0.528988
-0.912545,-0.800793,0.223516,-0.557444,-0.25292,-0.523514,-0.523514
-0.943806,-0.796587,0.216056,-0.552477,-0.261346,-0.517836,-0.517836
-0.987233,-0.795758,0.211668,-0.550194,-0.267665,-0.513235,-0.513235
-1.02157,-0.796392,0.206387,-0.550663,-0.272032,-0.509129,-0.509129
-1.05449,-0.79908,0.198034,-0.552563,-0.275065,-0.50545,-0.50545
-1.08387,-0.800724,0.187442,-0.555033,-0.277591,-0.502223,-0.502223
-1.11391,-0.803991,0.177853,-0.557035,-0.279813,-0.498531,-0.498531
-1.14711,-0.809867,0.170634,-0.55842,-0.282257,-0.494744,-0.494744
-1.18249,-0.812809,0.163956,-0.559481,-0.28402,-0.49193,-0.49193
-1.22089,-0.816648,0.158242,-0.560486,-0.285125,-0.490061,-0.490061
-1.25843,-0.824592,0.156162,-0.562416,-0.284752,-0.488951,-0.488951
-1.29671,-0.829829,0.152805,-0.565316,-0.283213,-0.489055,-0.489055
-1.34431,-0.82219,0.153976,-0.568502,-0.27988,-0.490709,-0.490709
-1.38145,-0.825979,0.152596,-0.57449,-0.275147,-0.492113,-0.492113
-1.41477,-0.827583,0.15039,-0.581755,-0.269013,-0.49426,-0.49426
-1.45573,-0.801577,0.150339,-0.588779,-0.261322,-0.498651,-0.498651
-1.48012,-0.788761,0.151469,-0.593886,-0.255247,-0.501266,-0.501266
-1.51009,-0.793697,0.151211,-0.593598,-0.253781,-0.501786,-0.501786
-1.54174,-0.801875,0.150601,-0.591895,-0.253169,-0.50237,-0.50237
-1.57811,-0.808864,0.147144,-0.590578,-0.252553,-0.50327,-0.50327
-1.61712,-0.807933,0.141334,-0.589927,-0.251428,-0.505151,-0.505151
-1.65513,-0.8009,0.136912,-0.590338,-0.249193,-0.507581,-0.507581
-1.69431,-0.796475,0.132003,-0.591615,-0.246663,-0.509891,-0.509891
-1.73513,-0.795032,0.127119,-0.593352,-0.244232,-0.511588,-0.511588
-1.77385,-0.791017,0.122295,-0.595453,-0.241831,-0.512956,-0.512956
-1.81483,-0.782463,0.120766,-0.597698,-0.239785,-0.513763,-0.513763
-1.85469,-0.775325,0.120723,-0.59902,-0.238832,-0.513276,-0.513276
-1.89518,-0.765258,0.123708,-0.599118,-0.238815,-0.512062,-0.512062
-1.93439,-0.760248,0.130313,-0.597064,-0.241059,-0.509455,-0.509455
-1.97072,-0.7437,0.140524,-0.594524,-0.242423,-0.507613,-0.507613
-2.00768,-0.735193,0.150439,-0.593172,-0.243592,-0.504592,-0.504592
